date_hour,trip_count
2009-01-01 00,14
2009-01-01 01,13
2009-01-01 02,10
2009-01-01 03,9
2009-01-01 04,11
2009-01-01 05,7
2009-01-01 06,1
2009-01-01 07,4
2009-01-01 09,3
2009-01-01 10,8
2009-01-01 11,8
2009-01-01 12,18
2009-01-01 13,15
2009-01-01 14,23
2009-01-01 15,16
2009-01-01 16,17
2009-01-01 17,19
2009-01-01 18,17
2009-01-01 19,20
2009-01-01 20,20
2009-01-01 21,16
2009-01-01 22,18
2009-01-01 23,12
2009-01-02 00,8
2009-01-02 01,11
2009-01-02 02,4
2009-01-02 03,3
2009-01-02 04,1
2009-01-02 05,4
2009-01-02 06,10
2009-01-02 07,10
2009-01-02 08,10
2009-01-02 09,15
2009-01-02 10,13
2009-01-02 11,25
2009-01-02 12,24
2009-01-02 13,26
2009-01-02 14,16
2009-01-02 15,25
2009-01-02 16,20
2009-01-02 17,17
2009-01-02 18,35
2009-01-02 19,20
2009-01-02 20,23
2009-01-02 21,17
2009-01-02 22,15
2009-01-02 23,18
2009-01-03 00,14
2009-01-03 01,18
2009-01-03 02,14
2009-01-03 03,10
2009-01-03 04,7
2009-01-03 05,2
2009-01-03 06,3
2009-01-03 07,4
2009-01-03 08,5
2009-01-03 09,6
2009-01-03 10,8
2009-01-03 11,14
2009-01-03 12,29
2009-01-03 13,17
2009-01-03 14,26
2009-01-03 15,28
2009-01-03 16,14
2009-01-03 17,27
2009-01-03 18,24
2009-01-03 19,17
2009-01-03 20,12
2009-01-03 21,17
2009-01-03 22,22
2009-01-03 23,27
2009-01-04 00,24
2009-01-04 01,17
2009-01-04 02,17
2009-01-04 03,11
2009-01-04 04,12
2009-01-04 05,4
2009-01-04 06,3
2009-01-04 07,3
2009-01-04 08,5
2009-01-04 09,9
2009-01-04 10,12
2009-01-04 11,16
2009-01-04 12,19
2009-01-04 13,17
2009-01-04 14,25
2009-01-04 15,13
2009-01-04 16,24
2009-01-04 17,20
2009-01-04 18,19
2009-01-04 19,10
2009-01-04 20,20
2009-01-04 21,20
2009-01-04 22,13
2009-01-04 23,13
2009-01-05 00,14
2009-01-05 01,2
2009-01-05 02,3
2009-01-05 03,1
2009-01-05 04,2
2009-01-05 05,4
2009-01-05 06,8
2009-01-05 07,18
2009-01-05 08,21
2009-01-05 09,20
2009-01-05 10,8
2009-01-05 11,19
2009-01-05 12,19
2009-01-05 13,17
2009-01-05 14,20
